id_atlhete_modality,Medal,id
2140,Silver,355
2151,Bronze,356
2162,Gold,357
2166,Bronze,358
2168,Bronze,359
2169,Silver,360
2170,Silver,361
2178,Gold,362
2179,Gold,363
2182,Silver,364
2194,Silver,365
2224,Silver,366
2231,Silver,367
2233,Silver,368
2240,Bronze,369
2246,Gold,370
2251,Silver,371
2252,Bronze,372
2254,Gold,373
2272,Bronze,374
2273,Gold,375
2274,Gold,376
2292,Gold,377
2296,Bronze,378
2308,Bronze,379
2311,Gold,380
2313,Bronze,381
2314,Silver,382
2322,Gold,383
2323,Bronze,384
2325,Bronze,385
2327,Bronze,386
2337,Bronze,387
2338,Silver,388
2340,Bronze,389
2347,Bronze,390
2349,Bronze,391
2354,Silver,392
2355,Bronze,393
2356,Gold,394
2372,Gold,395
2373,Silver,396
2374,Gold,397
2375,Gold,398
2377,Silver,399
2378,Silver,400
2379,Gold,401
2381,Silver,402
2383,Gold,403
2390,Bronze,404
2405,Silver,405
2409,Silver,406
2412,Bronze,407
2415,Gold,408
2419,Silver,409
2421,Gold,410
2424,Silver,411
2452,Gold,412
2454,Silver,413
2455,Silver,414
2456,Silver,415
2457,Bronze,416
2477,Gold,417
2478,Gold,418
2482,Bronze,419
2503,Silver,420
2507,Gold,421
2514,Silver,422
2516,Bronze,423
2517,Bronze,424
2533,Gold,425
2534,Bronze,426
2550,Gold,427
2556,Bronze,428
2571,Bronze,429
2573,Gold,430
2574,Gold,431
2575,Gold,432
2576,Silver,433
2581,Silver,434
2582,Silver,435
2591,Bronze,436
2592,Silver,437
2601,Bronze,438
2605,Bronze,439
2607,Silver,440
2617,Silver,441
2624,Silver,442
2626,Bronze,443
2629,Silver,444
2635,Bronze,445
2636,Silver,446
2639,Silver,447
2645,Bronze,448
2646,Gold,449
2647,Gold,450
2648,Silver,451
2650,Gold,452
2661,Bronze,453
2671,Silver,454
2676,Bronze,455
2677,Bronze,456
2690,Bronze,457
2692,Gold,458
2722,Gold,459
2725,Bronze,460
2731,Gold,461
2732,Gold,462
2733,Gold,463
2740,Bronze,464
2741,Silver,465
2748,Gold,466
2751,Bronze,467
2752,Bronze,468
2759,Bronze,469
2761,Silver,470
2764,Silver,471
2775,Silver,472
2778,Silver,473
2779,Silver,474
2785,Bronze,475
2790,Silver,476
2796,Gold,477
2798,Bronze,478
2799,Bronze,479
2813,Gold,480
2814,Gold,481
2816,Silver,482
2817,Gold,483
2818,Silver,484
2820,Silver,485
2821,Bronze,486
2835,Bronze,487
2839,Bronze,488
2840,Silver,489
2842,Silver,490
2870,Gold,491
2876,Gold,492
2877,Bronze,493
2881,Silver,494
2889,Bronze,495
2890,Silver,496
2893,Gold,497
2910,Bronze,498
2915,Bronze,499
2916,Bronze,500
2917,Bronze,501
2918,Silver,502
2920,Gold,503
2924,Bronze,504
2925,Bronze,505
2927,Bronze,506
2928,Bronze,507
2929,Silver,508
2930,Bronze,509
2959,Silver,510
2963,Silver,511
2964,Silver,512
2965,Silver,513
2966,Silver,514
2967,Bronze,515
2984,Gold,516
2985,Gold,517
2997,Gold,518
2999,Gold,519
3000,Gold,520
3002,Gold,521
3006,Silver,522
3011,Silver,523
3012,Silver,524
3016,Silver,525
3029,Bronze,526
3040,Bronze,527
3043,Silver,528
3050,Silver,529
3051,Bronze,530
3063,Gold,531
3064,Gold,532
3067,Silver,533
3068,Gold,534
3069,Gold,535
3070,Gold,536
3080,Silver,537
3081,Silver,538
3084,Silver,539
3088,Bronze,540
3092,Bronze,541
3107,Bronze,542
3120,Gold,543
3121,Gold,544
3127,Silver,545
3130,Silver,546
3134,Bronze,547
3136,Silver,548
3143,Gold,549
3174,Bronze,550
3178,Silver,551
3182,Bronze,552
3186,Bronze,553
3193,Bronze,554
3195,Bronze,555
3209,Bronze,556
