ID,Name,Sex
8230,Caroline Bartasek,F
8314,Frank Bartolillo,M
8326,Clive Barton,M
8329,George Raymond Barton,M
8333,Rosalyn Barton (-Cooper),F
8354,John Lavers Bartram,M
8377,"Ernest William ""Bill"" Barwick",M
8450,Adam Edward Basil,M
8482,Russell Basser,M
8535,Colin Batch,M
8542,Warner Stanton Batchelor,M
8555,"Katherine Linsey ""Kate"" Bates",F
8561,"Robert ""Bobby"" Bath",M
8590,Suzy Batkovic (-Brown),F
8595,Daniel Batman,M
8625,Malcolm William Batten,M
8629,"James Stewart ""Jim"" Battersby",M
8630,Kerry Battersby (-Agg),F
8730,"Frederick ""Fred"" Baugh",M
8735,Crosbie Baulch,M
8782,"Suzanne Carol ""Susie"" Baumer (-Ford)",F
8853,Louise Bawden,F
8864,"Kathleen ""Kate"" Baxter",F
8908,Donald William Bayley,M
8909,John Manton Bayley,M
8910,Ryan Neville Bayley,M
8911,Anna Ellen Baylis (-Scheiderbauer),F
8914,Kerry Bayliss (-Lindsay),F
8923,Aron John Baynes,M
8988,"Charles Frederick ""Charlie"" Bazzano",M
9013,Gemma Beadsworth,F
9014,Jamie Beadsworth,M
9015,"Daniel ""Dan"" Beahan",M
9018,Daniel Beale,M
9032,"Aaron J. ""AJ"" Bear",M
9037,David Beard,M
9041,Colin Kenneth Beashel,M
9094,"Francis Joseph Edmund ""Frank"" De Beaurepaire",M
9095,"Lillian ""Lily"" De Beaurepaire (-Clarke)",F
9099,"Joshua ""Josh"" Beaver",M
9181,Nicole Elise Beck,F
9193,"Matthew ""Matt"" Beckenham",M
9221,"Thomas ""Tom"" Becker",M
9241,Amber Gerganiya Beckitt (-Shelley),F
9294,"Janice May ""Jan"" Bedford (-Pyke)",F
9297,Domonic Bedggood,M
9371,Dale Begg-Smith,M
9372,Jason Begg-Smith,M
9562,Tracey Lee Belbin,F
9563,David Alexander Belcher,M
9567,Mathew Belcher,M
9632,David Bell,M
9645,"Lynette ""Lyn"" Bell (-Chipchase)",F
9655,"Robin ""Rob"" Bell",M
9697,"Phillip ""Phil"" Bellingham",M
9721,Mark Bellofiore,M
9764,Alexander Belonogoff,M
9809,Samuel Beltz,M
9992,"Thomas Erwin ""Tom"" Bender",M
10050,"Frederick Angus ""Fred"" Benfield (-Kirkham)",M
10134,"Gregory Laurie ""Greg"" Benko",M
10166,"Geoffrey Russell ""Geoff"" Bennett",M
10168,"Gregory Sydney ""Greg"" Bennett",M
10172,Joyce Elaine Bennett (-Sala Tenna),F
10178,Mervyn Bennett,M
10182,Peter John Bennett,M
10186,Shayne Anthony Bennett,M
10225,"Anthony Charles ""Tony"" Benson",M
10228,Jake Bensted,M
10245,Coral Ann Bentley,F
10246,John Bentley,M
10302,Adrian Berce,M
10306,Manuela Berchtold,F
10344,Hayley Beresford,F
10592,Glenn Stuart Beringen,M
10603,Klaas Berkeley,M
10760,"Carole Estelle ""Carol"" Bernoth (-Sim)",F
10804,Kevin John Berry,M
10922,John Edwin Bertrand,M
11007,Petra Besta,F
11009,John Roderick Bestall,M
11043,Francis Mark Bethwaite,M
11116,Tully Louise Bevilaqua (Crook-),F
11155,Sisay Bezabeh,M
11427,Eric James Bigby,M
11430,Richard Biggins,M
11438,"Robert Francis ""Bob"" Bignall",M
11453,"Alexander Henry ""Alex"" Bijkerk",M
11512,Errol Bill,M
11535,"Raymond Victor ""Ray"" Bilney",M
11613,David Bingham,M
11631,"Maxwell ""Max"" Binnington",M
11670,Stephen Bird,M
11673,Dane Alex Bird-Smith,M
11699,Damien Birkinhead,M
11709,"Laurence Sydney ""Laurie"" Birks",M
11713,Collis Birmingham,M
11714,Warren Allen Birmingham,M
11718,Werner Birnbaum,M
11779,Abby Bishop,F
11785,Isobel Bishop,F
11789,"Nicola P. ""Nikki"" Bishop",F
11794,Steele Roy Bishop,M
11797,Nadia Bisiach,F
11883,Rina Bjarnason,F
11986,Marilyn Mary Black (-Vassella),F
11990,Sharon Lee Black,F
11998,Blake Blackburn,M
11999,Brian Reginald Blackburn,M
12003,Michael James Blackburn,M
12004,Peter Grant Blackburn,M
12016,"Penelope ""Penny"" Blackmore",F
12017,"Ronald Leslie ""Ron"" Blackney",M
12041,Milan Blagojevic,M
12053,Adrian Blair,M
12070,Christopher John Blake,M
12075,George Bernard Blake,M
12117,Sarah Jane Blanck,F
12254,Elizabeth Blencowe (-Thompson),F
12266,Andris Blicavs,M
12368,"Geoffrey ""Geoff"" Bloomfield",M
12379,"Anthony Arthur C. ""Tony"" Blue",M
12410,"Jennifer ""Jenny"" Blundell",F
12421,Madonna Blyth,F
12423,Gabrielle Therese Blythe,F
12450,Graham Boase,M
12451,"Thomas Louis ""Tom"" Boast",M
12490,Jack Bobridge,M
12576,Pierre Boda,M
12599,Lauren Boden-Wells,F
12610,Lee Andrew Bodimeade,M
12657,Nicole Jane Boegman-Staines (-Stewart),F
12795,Andrew Michael Bogut,M
12808,Georgia Bohl,F
12925,Peter Bol,M
12968,"Thomas Patrick ""Tom"" Bolger",M
13028,John Bolt,M
13037,"Cameron ""Cam"" Bolton",M
13038,Colleen Bolton,F
13061,Sarah Joan Bombell,F
13119,Graham Francis Bond,M
13156,Edwina Claire Bone,F
13280,Georgia Bonora,F
13315,Justin Boocock,M
13356,Brian Charles Booth,M
13359,"Joshua ""Josh"" Booth",M
13362,"Mitchell Jay ""Mitch"" Booth",M
13363,Robert Booth,M
13364,Sharon Booth,F
13366,William Neal Booth,M
13401,Katrin Borchert,F
13566,"Raymond Helmut ""Ray"" Borner",M
13586,Tatyana Aleksandrovna Borodulina,F
13590,"Theodore ""Ted"" Boronovskis",M
13638,Ian Borrows,M
13678,Nancy Jane Borwick (-Jarvis),F
13760,Mark John Bosnich,M
13828,Evelyn Botfield (-Bender),F
13883,Esther Bottomley,F
14055,Raelene Boulton,F
14124,Bruce Bourke,M
14126,Glenn Bourke,M
14243,Scott Bowden,M
14246,Ian Walter John Bowditch,M
14251,"Sandra ""Sandi"" Bowen",F
14256,Mervyn John Bower,M
14257,Jodie Bowering,F
14258,Dianne Marie Bowering-Burge,F
14267,Daniel Bowker,M
14283,"Deborah Ann ""Debbie"" Bowman-Sullivan",F
14286,"Vernon A. ""Vern"" Bowrey",M
14315,"William George ""Billy"" Boyce",M
14319,Fiona Boyce,F
14320,Grant Boyce,M
14321,Peter Boyce,M
14325,Alana Boyd,F
14327,Carla Maree Boyd (Porter-),F
14329,Gary Stewart Boyd,M
14336,Luke Boyd,M
14337,Malcolm Vivian Boyd,M
14341,"Raymond ""Ray"" Boyd",M
14343,Sean Boyd,M
14346,Warren Boyd,M
14364,David Hebbert Boykett,M
14372,John Martin Boyle,M
14374,Raelene Ann Boyle,F
14377,Ron Boyle,M
14378,Shaun Boyle,M
14412,Vlado Bozinovski,M
14492,Steven John Bradbury,M
14503,Amber Bradley,F
14520,Kevin Bradshaw,M
14522,Robyn Jean Bradshaw (-Arlow),F
14524,"Marcus Robert ""Mark"" Bradtke",M
14566,Stewart Brain,M
14604,Craig Branch,M
14612,Karen Patricia  Brancourt (-Pollock),F
14747,"Jonathon ""Jono"" Brauer",M
14816,Frank Brazier,M
14823,Kaye J. Breadsell (-Brajkovich),F
14864,Mary Patricia Breen,F
14865,Melissa Breen,F
14879,Ashley John Brehaut,M
14880,Stuart Charles Brehaut,M
14881,"Stephen ""Steve"" Breheny",M
14920,Kyla Bremner,F
14944,Ashleigh Jade Brennan,F
14946,Michael Gene Brennan,M
14949,Scott Michael Brennan,M
14968,Mark Bresciano,M
14984,"Elizabeth ""Liz"" Brett",F
15006,Graeme Thomas Brewer,M
15041,"Thomas Robert ""Tom"" Brice",M
15055,Christine Linda Bridge,F
15057,Mark Robert Bridge,M
15060,Deonne Ellen Bridger,F
15083,Jo Brigden-Jones,F
15088,Kim Briggs,F
15093,Rowena Bright,F
15096,Torah Jane Bright (-Thomson),F
15115,"Stephen ""Steve"" Brimacombe",M
15158,Kevin James Brislin,M
15177,Grant Tyson Brits,M
15213,"Robert Arthur ""Bob"" Broadbent",M
15216,Brittany Broben,F
15236,Belle Brockhoff,F
15237,Peter Brockhoff,M
15266,Leith Brodie,M
15292,Ryan Broekhoff,M
15301,Michelle Kathleen Brogan-Griffiths,F
15331,"Edward Robert ""Ted"" Bromley",M
15340,"Sandra Anne ""Sandy"" Brondello",F
15353,Donald William Brook,M
15355,Tracy Lee Brook,F
15360,Harold Brooke,M
15371,Belinda Brooks,F
15378,"Edmond ""Eddie"" Brooks",M
15387,Neil Brooks,M
15394,Travis Neil Brooks,M
15416,Alex Jason Brosque,M
15433,"Gregory John ""Greg"" Brough",M
15499,"Christopher ""Cris"" Brown",M
15501,Damian Gerard Brown,M
15527,Graeme Allen Brown,M
15533,Ian Warwick Brown,M
