id,id_modality,athlete_id,id_olympic,Age,Height,Weight
3043,65,47159,1,25.0,187.0,95.0
3044,25,47159,2,29.0,187.0,95.0
3045,240,47282,3,27.0,190.0,75.0
3046,30,47282,4,31.0,190.0,75.0
3047,66,47456,9,30.0,182.0,75.0
3048,134,47478,3,19.0,170.0,62.0
3049,393,47478,3,19.0,170.0,62.0
3050,134,47478,4,23.0,170.0,62.0
3051,393,47478,4,23.0,170.0,62.0
3052,134,47478,1,27.0,170.0,62.0
3053,393,47478,1,27.0,170.0,62.0
3054,367,47559,5,42.0,180.0,82.0
3055,289,47569,6,33.0,,56.0
3056,145,47584,12,25.0,184.0,81.0
3057,53,47584,12,25.0,184.0,81.0
3058,169,47585,2,20.0,158.0,49.0
3059,169,47585,5,24.0,158.0,49.0
