id,id_modality,athlete_id,id_olympic,Age,Height,Weight
2530,117,39457,10,25.0,177.0,75.0
2531,118,39457,10,25.0,177.0,75.0
2532,336,39511,5,25.0,171.0,52.0
2533,1,39542,4,27.0,190.0,87.0
2534,1,39542,1,31.0,190.0,87.0
2535,162,39543,5,27.0,192.0,90.0
2536,235,39551,3,25.0,172.0,60.0
2537,260,39651,3,19.0,174.0,62.0
2538,261,39651,3,19.0,174.0,62.0
2539,56,39653,3,23.0,171.0,56.0
2540,30,39805,2,24.0,184.0,83.0
2541,36,39806,1,28.0,170.0,65.0
2542,36,39806,2,32.0,170.0,65.0
2543,373,40079,5,24.0,169.0,78.0
2544,24,40158,2,25.0,190.0,95.0
2545,157,40173,14,31.0,,
2546,268,40173,14,31.0,,
2547,11,40173,14,31.0,,
2548,353,40173,14,31.0,,
2549,354,40173,14,31.0,,
2550,182,40176,6,18.0,,
2551,187,40185,1,26.0,181.0,72.0
2552,187,40185,2,30.0,181.0,72.0
2553,164,40214,14,32.0,,75.0
2554,96,40278,5,26.0,189.0,90.0
2555,66,40289,8,27.0,183.0,106.0
2556,66,40289,12,31.0,183.0,106.0
2557,66,40289,3,35.0,183.0,106.0
2558,173,40289,4,39.0,183.0,106.0
2559,32,40293,6,18.0,,
2560,71,40361,9,29.0,183.0,80.0
2561,282,40362,16,21.0,173.0,57.0
2562,189,40362,16,21.0,173.0,57.0
2563,282,40362,17,29.0,173.0,57.0
2564,343,40375,9,41.0,193.0,89.0
2565,65,40380,20,21.0,190.0,84.0
2566,65,40380,15,25.0,190.0,84.0
2567,161,40383,2,24.0,175.0,58.0
2568,374,40383,2,24.0,175.0,58.0
2569,150,40399,3,21.0,165.0,60.0
2570,9,40399,3,21.0,165.0,60.0
2571,269,40399,3,21.0,165.0,60.0
2572,71,40402,11,23.0,183.0,81.0
2573,65,40449,12,21.0,195.0,85.0
2574,163,40449,4,29.0,195.0,85.0
2575,163,40449,1,33.0,195.0,85.0
2576,65,40449,2,37.0,195.0,85.0
2577,140,40456,30,29.0,171.0,82.0
2578,139,40456,30,29.0,171.0,82.0
2579,250,40514,6,24.0,,
2580,146,40514,6,24.0,,
2581,126,40514,6,24.0,,
2582,81,40549,5,28.0,190.0,92.0
2583,98,40602,3,17.0,187.0,80.0
2584,376,40606,3,21.0,175.0,67.0
2585,168,40672,2,19.0,190.0,86.0
2586,115,40672,5,23.0,190.0,86.0
2587,167,40672,5,23.0,190.0,86.0
2588,168,40672,5,23.0,190.0,86.0
2589,377,40685,22,19.0,157.0,58.0
2590,378,40685,22,19.0,157.0,58.0
2591,1,40763,15,23.0,175.0,79.0
2592,1,40763,24,27.0,175.0,79.0
2593,1,40763,16,31.0,175.0,79.0
2594,57,40774,1,28.0,168.0,53.0
2595,56,40774,1,28.0,168.0,53.0
2596,42,40810,10,29.0,162.0,54.0
2597,272,40989,2,28.0,189.0,95.0
2598,254,40989,5,32.0,189.0,95.0
2599,238,41014,30,27.0,175.0,65.0
2600,83,41024,5,26.0,176.0,64.0
2601,83,41025,1,23.0,183.0,80.0
2602,379,41027,6,35.0,,
2603,96,41028,9,23.0,193.0,87.0
2604,96,41028,17,27.0,193.0,87.0
2605,1,41061,2,22.0,180.0,80.0
2606,1,41061,5,26.0,180.0,80.0
2607,1,41117,9,28.0,167.0,60.0
2608,1,41118,16,27.0,165.0,67.0
2609,146,41121,33,26.0,187.0,80.0
2610,178,41121,33,26.0,187.0,80.0
2611,29,41159,3,19.0,156.0,50.0
2612,161,41178,4,30.0,163.0,62.0
2613,243,41341,1,25.0,175.0,62.0
2614,304,41401,15,31.0,183.0,86.0
2615,111,41494,3,25.0,182.0,78.0
2616,64,41627,3,31.0,186.0,86.0
2617,64,41627,4,35.0,186.0,86.0
2618,178,41673,6,29.0,,
2619,305,41676,9,19.0,177.0,76.0
2620,26,41676,9,19.0,177.0,76.0
2621,309,41697,8,25.0,174.0,91.0
2622,309,41697,12,29.0,174.0,91.0
2623,146,41699,6,19.0,,
2624,126,41699,6,19.0,,
2625,30,41701,5,23.0,183.0,80.0
2626,198,41702,12,22.0,184.0,77.0
2627,36,41707,9,25.0,188.0,73.0
2628,93,41724,3,27.0,177.0,67.0
2629,25,41792,3,23.0,193.0,91.0
2630,67,41798,10,24.0,190.0,95.0
2631,97,41879,1,22.0,180.0,65.0
2632,380,41879,1,22.0,180.0,65.0
2633,380,41879,2,26.0,180.0,65.0
2634,162,41881,11,19.0,181.0,73.0
2635,162,41881,12,27.0,181.0,73.0
2636,162,41881,3,31.0,181.0,73.0
2637,29,41909,5,23.0,154.0,54.0
2638,146,41952,6,22.0,188.0,77.0
2639,126,41952,6,22.0,188.0,77.0
2640,146,41952,20,26.0,188.0,77.0
2641,36,41958,2,25.0,179.0,73.0
2642,381,42057,10,18.0,182.0,53.0
2643,161,42057,11,22.0,182.0,53.0
2644,25,42061,28,27.0,,
2645,165,42065,16,15.0,171.0,59.0
2646,153,42065,16,15.0,171.0,59.0
2647,98,42065,16,15.0,171.0,59.0
2648,97,42065,16,15.0,171.0,59.0
2649,182,42065,16,15.0,171.0,59.0
2650,280,42065,16,15.0,171.0,59.0
2651,24,42067,5,27.0,192.0,93.0
2652,203,42092,6,,,
2653,213,42092,6,,,
2654,204,42092,6,,,
2655,205,42092,6,,,
2656,206,42092,6,,,
2657,207,42092,6,,,
2658,208,42092,6,,,
2659,209,42092,6,,,
2660,1,42117,5,20.0,187.0,85.0
2661,1,42118,2,24.0,179.0,76.0
2662,158,42128,13,19.0,,
2663,125,42128,14,23.0,,
2664,252,42131,9,35.0,178.0,72.0
2665,67,42191,3,27.0,172.0,92.0
2666,163,42193,6,27.0,,
2667,24,42195,3,34.0,185.0,85.0
2668,163,42196,13,41.0,,
2669,25,42231,25,31.0,178.0,71.0
2670,182,42267,3,18.0,187.0,67.0
2671,99,42267,3,18.0,187.0,67.0
2672,153,42267,4,22.0,187.0,67.0
2673,98,42267,4,22.0,187.0,67.0
2674,99,42267,4,22.0,187.0,67.0
2675,118,42276,11,24.0,179.0,84.0
2676,262,42276,11,24.0,179.0,84.0
2677,71,42276,8,28.0,179.0,84.0
2678,180,42284,22,19.0,171.0,71.0
2679,382,42314,8,24.0,170.0,53.0
2680,382,42314,12,28.0,170.0,53.0
2681,28,42392,6,,,
2682,31,42415,2,27.0,206.0,93.0
2683,7,42419,6,22.0,,
2684,146,42432,9,22.0,180.0,70.0
2685,178,42432,9,22.0,180.0,70.0
2686,126,42432,9,22.0,180.0,70.0
2687,271,42433,5,29.0,188.0,88.0
2688,373,42434,1,21.0,173.0,78.0
2689,332,42505,1,25.0,177.0,82.0
2690,305,42523,37,21.0,,
2691,115,42523,33,26.0,,
2692,305,42523,33,26.0,,
2693,115,42523,28,30.0,,
2694,153,42529,16,15.0,,
2695,348,42536,29,26.0,178.0,72.0
2696,40,42536,29,26.0,178.0,72.0
2697,41,42536,29,26.0,178.0,72.0
2698,349,42536,29,26.0,178.0,72.0
2699,74,42537,12,23.0,189.0,86.0
2700,147,42537,12,23.0,189.0,86.0
2701,74,42537,3,27.0,189.0,86.0
2702,147,42537,3,27.0,189.0,86.0
2703,74,42537,1,35.0,189.0,86.0
2704,147,42537,1,35.0,189.0,86.0
2705,348,42539,40,22.0,182.0,72.0
2706,41,42539,40,22.0,182.0,72.0
2707,349,42539,40,22.0,182.0,72.0
2708,348,42539,30,28.0,182.0,72.0
2709,41,42539,30,28.0,182.0,72.0
2710,349,42539,30,28.0,182.0,72.0
2711,32,42540,24,17.0,160.0,54.0
2712,366,42540,24,17.0,160.0,54.0
2713,42,42541,10,25.0,175.0,67.0
2714,109,42545,6,24.0,,
2715,153,42548,9,16.0,168.0,61.0
2716,123,42614,13,26.0,,
2717,28,42616,10,20.0,180.0,74.0
2718,298,42618,3,27.0,183.0,81.0
2719,190,42619,11,28.0,183.0,70.0
2720,191,42619,11,28.0,183.0,70.0
2721,190,42619,8,32.0,183.0,70.0
2722,191,42619,8,32.0,183.0,70.0
2723,190,42619,12,36.0,183.0,70.0
2724,262,42621,6,25.0,178.0,79.0
2725,263,42621,6,25.0,178.0,79.0
2726,262,42621,20,29.0,178.0,79.0
2727,319,42621,20,29.0,178.0,79.0
2728,71,42621,15,33.0,178.0,79.0
2729,71,42621,24,37.0,178.0,79.0
2730,71,42621,16,41.0,178.0,79.0
2731,177,42623,5,23.0,172.0,75.0
2732,65,42642,8,24.0,196.0,88.0
2733,65,42642,12,28.0,196.0,88.0
2734,87,42652,11,33.0,168.0,69.0
2735,328,42652,4,49.0,168.0,69.0
2736,146,42673,12,23.0,184.0,78.0
2737,126,42673,12,23.0,184.0,78.0
2738,74,42680,8,38.0,,
2739,147,42680,8,38.0,,
2740,25,42693,14,22.0,,
2741,126,42738,6,23.0,,
2742,113,42744,2,22.0,184.0,73.0
2743,113,42744,5,26.0,184.0,73.0
2744,312,42745,22,22.0,172.0,69.0
2745,316,42745,22,22.0,172.0,69.0
2746,23,42762,3,20.0,182.0,78.0
2747,277,42771,10,22.0,177.0,70.0
2748,26,42771,10,22.0,177.0,70.0
2749,153,42806,12,17.0,178.0,67.0
2750,182,42806,12,17.0,178.0,67.0
2751,99,42806,12,17.0,178.0,67.0
2752,241,42809,10,19.0,172.0,73.0
2753,90,42840,39,19.0,,
2754,92,42840,39,19.0,,
2755,23,42886,4,22.0,183.0,76.0
2756,190,42887,2,40.0,171.0,73.0
2757,191,42887,2,40.0,171.0,73.0
2758,190,42887,5,44.0,171.0,73.0
2759,191,42887,5,44.0,171.0,73.0
2760,136,42889,6,24.0,,
2761,235,42913,3,24.0,180.0,64.0
2762,169,42936,12,25.0,164.0,53.0
2763,169,42936,3,29.0,164.0,53.0
2764,162,42949,1,24.0,190.0,84.0
2765,383,42990,22,23.0,194.0,105.0
2766,36,42992,20,20.0,169.0,55.0
2767,37,42992,20,20.0,169.0,55.0
2768,384,43005,3,29.0,192.0,91.0
2769,111,43078,3,27.0,196.0,96.0
2770,364,43119,20,28.0,157.0,52.0
2771,94,43217,5,28.0,193.0,100.0
2772,133,43237,16,19.0,174.0,68.0
2773,134,43237,16,19.0,174.0,68.0
2774,43,43238,15,20.0,167.0,51.0
2775,25,43238,24,24.0,167.0,51.0
2776,25,43238,16,27.0,167.0,51.0
2777,32,43241,5,21.0,179.0,66.0
2778,366,43241,5,21.0,179.0,66.0
2779,33,43241,5,21.0,179.0,66.0
2780,380,43485,5,17.0,162.0,62.0
2781,94,43497,1,23.0,200.0,92.0
2782,95,43497,1,23.0,200.0,92.0
2783,95,43497,5,31.0,200.0,92.0
2784,179,43534,4,18.0,184.0,64.0
2785,1,43620,1,26.0,177.0,75.0
2786,317,43626,20,21.0,192.0,84.0
2787,25,43626,15,25.0,192.0,84.0
2788,163,43626,24,29.0,192.0,84.0
2789,65,43627,20,22.0,190.0,82.0
2790,81,43832,10,26.0,188.0,85.0
2791,90,44074,19,18.0,182.0,80.0
2792,90,44075,23,21.0,,
2793,91,44075,23,21.0,,
2794,92,44075,23,21.0,,
2795,331,44077,19,20.0,168.0,63.0
2796,83,44130,3,27.0,180.0,74.0
2797,83,44366,4,22.0,175.0,73.0
2798,83,44366,1,26.0,175.0,73.0
2799,83,44366,2,30.0,175.0,73.0
2800,44,44388,8,14.0,,
2801,49,44388,8,14.0,,
2802,45,44388,8,14.0,,
2803,46,44388,8,14.0,,
2804,47,44388,8,14.0,,
2805,48,44388,8,14.0,,
2806,341,44458,2,17.0,171.0,63.0
2807,260,44513,11,23.0,172.0,67.0
2808,338,44516,12,32.0,176.0,85.0
2809,338,44516,4,40.0,176.0,85.0
2810,19,44532,8,16.0,,
2811,68,44569,3,20.0,198.0,96.0
2812,20,44569,3,20.0,198.0,96.0
2813,21,44569,3,20.0,198.0,96.0
2814,22,44569,3,20.0,198.0,96.0
2815,68,44569,4,24.0,198.0,96.0
2816,20,44569,4,24.0,198.0,96.0
2817,21,44569,4,24.0,198.0,96.0
2818,22,44569,4,24.0,198.0,96.0
2819,20,44569,1,28.0,198.0,96.0
2820,21,44569,1,28.0,198.0,96.0
2821,22,44569,1,28.0,198.0,96.0
2822,336,44570,3,21.0,167.0,55.0
2823,11,44578,6,28.0,177.0,73.0
2824,10,44578,20,32.0,177.0,73.0
2825,11,44578,20,32.0,177.0,73.0
2826,353,44578,20,32.0,177.0,73.0
2827,24,44580,15,22.0,204.0,86.0
2828,265,44612,17,25.0,188.0,87.0
2829,265,44612,10,29.0,188.0,87.0
2830,121,44620,2,18.0,183.0,86.0
2831,197,44620,2,18.0,183.0,86.0
2832,86,44633,5,24.0,172.0,63.0
2833,89,44640,8,18.0,191.0,84.0
2834,176,44640,8,18.0,191.0,84.0
2835,120,44640,12,22.0,191.0,84.0
2836,30,44681,2,21.0,180.0,76.0
2837,30,44681,5,25.0,180.0,76.0
2838,1,44722,11,24.0,180.0,74.0
2839,1,44722,12,32.0,180.0,74.0
2840,1,44812,24,23.0,170.0,66.0
